population_index,total_time,total_travel_time,total_care_time,assigned_clients,unassigned_clients
0,3836.474293419097,56.4742934190972,3780.0,38,62
1,3836.474293419097,56.4742934190972,3780.0,38,62
9,3836.474293419097,56.4742934190972,3780.0,38,62
11,3836.474293419097,56.4742934190972,3780.0,38,62
91,3836.474293419097,56.4742934190972,3780.0,38,62
94,3836.474293419097,56.4742934190972,3780.0,38,62
96,3868.4488651275415,58.44886512754154,3810.0,38,62
14,3868.784023390872,58.784023390871916,3810.0,38,62
2,3843.295975715202,63.295975715202076,3780.0,38,62
99,3843.982425501946,63.9824255019464,3780.0,38,62
97,3843.9956196021253,63.99561960212548,3780.0,38,62
12,3814.8493937212934,64.84939372129337,3750.0,38,62
10,3798.392708936264,108.39270893626427,3690.0,38,62
17,3808.7745746103883,58.774574610388456,3750.0,37,63
18,3814.98776384733,64.98776384732983,3750.0,37,63
93,3816.700895829989,66.70089582998911,3750.0,37,63
81,3885.8708187748616,75.87081877486152,3810.0,37,63
88,3857.5056508799644,77.50565087996424,3780.0,37,63
41,3803.037697432659,83.03769743265896,3720.0,37,63
45,3803.037697432659,83.03769743265896,3720.0,37,63
46,3803.037697432659,83.03769743265896,3720.0,37,63
47,3803.037697432659,83.03769743265896,3720.0,37,63
85,3985.0747593320916,85.07475933209152,3900.0,37,63
48,3881.954567898174,101.95456789817402,3780.0,37,63
50,3852.5139677100624,102.51396771006218,3750.0,37,63
6,3689.4872278294347,59.487227829434566,3630.0,36,64
98,3751.9805151890787,61.98051518907856,3690.0,36,64
4,3814.0619809363557,64.06198093635564,3750.0,36,64
5,3756.500142144075,66.50014214407543,3690.0,36,64
49,3712.80043969029,82.8004396902904,3630.0,36,64
19,3727.5816774530913,67.58167745309116,3660.0,35,65
21,3699.396217198886,69.39621719888586,3630.0,35,65
24,3704.7562673535745,74.7562673535744,3630.0,35,65
29,3676.3341385303197,76.33413853031966,3600.0,35,65
44,3677.7961016939535,77.79610169395359,3600.0,35,65
22,3737.975229236397,77.97522923639686,3660.0,35,65
42,3739.002007162687,79.002007162687,3660.0,35,65
20,3662.2961972174844,92.2961972174845,3570.0,35,65
7,3726.438797092078,96.43879709207789,3630.0,35,65
71,3673.0032287041213,103.00322870412114,3570.0,35,65
77,3673.0032287041213,103.00322870412114,3570.0,35,65
8,3647.6848991445613,107.68489914456126,3540.0,35,65
78,3620.7530876722303,110.75308767223055,3510.0,35,65
79,3681.316943161837,111.31694316183724,3570.0,35,65
16,3743.162086564321,113.16208656432069,3630.0,35,65
74,3684.6268030604188,114.62680306041868,3570.0,35,65
32,3781.2230416739653,121.22304167396551,3660.0,35,65
31,3751.76079552986,121.76079552986008,3630.0,35,65
35,3751.76079552986,121.76079552986008,3630.0,35,65
36,3751.76079552986,121.76079552986008,3630.0,35,65
34,3754.3244510642626,124.32445106426258,3630.0,35,65
15,3694.7469600217564,124.74696002175646,3570.0,35,65
58,3623.3358692024335,143.33586920243346,3480.0,35,65
56,3774.618059771081,144.6180597710809,3630.0,35,65
51,3657.8967058016874,147.8967058016875,3510.0,35,65
52,3657.8967058016874,147.8967058016875,3510.0,35,65
57,3657.8967058016874,147.8967058016875,3510.0,35,65
60,3659.062679701061,149.06267970106077,3510.0,35,65
54,3661.343337597881,151.3433375978811,3510.0,35,65
53,3575.3540756856783,155.3540756856781,3420.0,35,65
27,3723.502079964572,63.50207996457208,3660.0,34,66
83,3733.3222723771482,73.32227237714807,3660.0,34,66
90,3704.683350688556,74.68335068855617,3630.0,34,66
72,3622.3812854087405,112.38128540874071,3510.0,34,66
3,3514.365105967075,64.36510596707497,3450.0,33,67
13,3516.075425818908,66.07542581890799,3450.0,33,67
25,3668.4005047544206,68.40050475442077,3600.0,33,67
84,3554.92393501041,74.92393501040988,3480.0,33,67
86,3517.323328714094,97.32332871409366,3420.0,33,67
75,3637.5083523746457,97.50835237464592,3540.0,33,67
73,3551.0760457213387,101.0760457213387,3450.0,33,67
39,3628.9509042033783,118.95090420337847,3510.0,33,67
59,3480.4323276861114,120.43232768611125,3360.0,33,67
87,3565.0141118152187,145.0141118152188,3420.0,33,67
30,3637.2454731596094,157.24547315960942,3480.0,33,67
92,3422.1805864032494,62.18058640324959,3360.0,32,68
89,3457.567719254959,67.56771925495899,3390.0,32,68
33,3474.2067391382225,114.20673913822245,3360.0,31,69
82,3538.6705117412075,118.67051174120763,3420.0,31,69
38,3518.709328698251,128.70932869825108,3390.0,31,69
28,3261.874189828457,111.87418982845702,3150.0,30,70
26,3298.1045408690184,118.10454086901821,3180.0,30,70
64,3423.8483367955046,153.8483367955046,3270.0,29,71
40,3331.158326073685,121.15832607368543,3210.0,28,72
76,3242.6129546145103,152.61295461451053,3090.0,28,72
23,3245.06980200307,155.06980200307012,3090.0,28,72
80,3280.122306085089,160.12230608508875,3120.0,28,72
95,3220.97470535359,160.97470535359002,3060.0,28,72
55,3222.017547486136,162.01754748613624,3060.0,28,72
43,3075.108511039661,75.10851103966098,3000.0,27,73
70,3174.477372820287,144.47737282028717,3030.0,27,73
61,3176.9953717705666,146.99537177056646,3030.0,27,73
62,3176.9953717705666,146.99537177056646,3030.0,27,73
63,3176.9953717705666,146.99537177056646,3030.0,27,73
67,3176.9953717705666,146.99537177056646,3030.0,27,73
69,3207.1655612757418,147.16556127574168,3060.0,27,73
65,3183.3891202858103,153.38912028581044,3030.0,27,73
66,3155.6651148873,155.6651148873003,3000.0,27,73
37,3226.744214793783,136.74421479378316,3090.0,26,74
68,3102.893102690816,162.89310269081582,2940.0,26,74
