u,v,key,name,highway,transportation_type,length,speed_kph,travel_time,travel_time_min,geometry
41941190,41940361,0,,motorway,car,184.41512985382784,40.0,16.597361686844504,0.27662269478074175,"LINESTRING (6.021233 50.821986, 6.0221654 50.821062, 6.022496 50.8207246, 6.0225571 50.8206624, 6.0226346 50.8205837)"
41941240,712758381,0,,motorway_link,car,37.95093717955547,100.0,1.3662337384639969,0.02277056230773328,"LINESTRING (6.0223386 50.8214182, 6.022286 50.8214464, 6.0219269 50.8216392)"
41941852,41941190,0,,motorway_link,car,46.92749936196312,60.0,2.8156499617177873,0.046927499361963124,"LINESTRING (6.0207387 50.8222699, 6.0208651 50.8221973, 6.021233 50.821986)"
41942044,41944458,0,,motorway,car,300.54661890818704,100.0,10.819678280694733,0.1803279713449122,"LINESTRING (6.0210875 50.8224672, 6.0187792 50.824743)"
41942044,41942494,0,,motorway_link,car,58.73332457897328,100.0,2.114399684843038,0.035239994747383964,"LINESTRING (6.0210875 50.8224672, 6.0209906 50.8227166, 6.020955 50.822828, 6.0209356 50.8229132, 6.0209277 50.8229847)"
41943918,41944458,0,,motorway_link,car,86.5370381413524,100.0,3.1153333730886863,0.051922222884811436,"LINESTRING (6.0198126 50.8243229, 6.0196696 50.8243687, 6.0193777 50.8244719, 6.0192571 50.8245188, 6.0192045 50.8245393, 6.0187792 50.824743)"
41944341,41941190,0,,motorway,car,355.4841373733999,60.0,21.329048242403992,0.35548413737339984,"LINESTRING (6.0184986 50.8246761, 6.0198755 50.8233256, 6.0206071 50.822604, 6.0209732 50.8222439, 6.021233 50.821986)"
41944341,13136760726,0,,motorway_link,car,43.2508173596204,70.0,2.224327749923335,0.03707212916538892,"LINESTRING (6.0184986 50.8246761, 6.0185763 50.8244589, 6.0186343 50.8242967)"
41944458,41948483,0,,motorway,car,502.7984859526986,100.0,18.10074549429715,0.30167909157161915,"LINESTRING (6.0187792 50.824743, 6.0186237 50.824898, 6.018347 50.825164, 6.0149201 50.8285514)"
41948483,41961522,0,,motorway,car,1631.6067308794418,100.0,58.737842311659904,0.9789640385276651,"LINESTRING (6.0149201 50.8285514, 6.0115205 50.8318882, 6.0088705 50.834497, 6.007052 50.836296, 6.0062098 50.8370244, 6.005268 50.8377458, 6.004357 50.838398, 6.00313 50.8391546, 6.002824 50.8393367, 6.0022581 50.8396507, 6.001101 50.8402432)"
41948483,41954178,0,,motorway_link,car,707.9819175716231,100.0,25.48734903257843,0.42478915054297384,"LINESTRING (6.0149201 50.8285514, 6.0144957 50.8291199, 6.0142435 50.8294094, 6.0129336 50.8308006, 6.0126695 50.8310993, 6.0125072 50.831302, 6.0123931 50.8314764, 6.0123059 50.8316433, 6.0122434 50.8317927, 6.0122175 50.8318767, 6.0121956 50.8319548, 6.0121459 50.8321493, 6.0121057 50.8322655, 6.0120739 50.8323686, 6.0120339 50.832466, 6.0119637 50.8326012, 6.011862 50.832756, 6.0116884 50.832958, 6.0109323 50.8336278, 6.0103218 50.834154)"
41953213,725607719,0,,trunk,car,254.28157440952188,70.0,13.077338112489699,0.21795563520816164,"LINESTRING (6.0069549 50.8331928, 6.0077083 50.83355, 6.0085222 50.8339225, 6.0094106 50.8343277, 6.009558 50.834395, 6.0096435 50.8344348, 6.0098779 50.8345423)"
41953213,41953428,0,,motorway_link,car,17.423471358510973,80.0,0.7840562111329938,0.01306760351888323,"LINESTRING (6.0069549 50.8331928, 6.0069183 50.8333161, 6.006902 50.8333456)"
41953398,41953069,0,,trunk,car,53.3340082802379,100.0,1.9200242980885645,0.03200040496814274,"LINESTRING (6.0067627 50.8332611, 6.0061477 50.8329797)"
41953398,41953213,0,,motorway_link,car,15.487875652694438,80.0,0.6969544043712498,0.01161590673952083,"LINESTRING (6.0067627 50.8332611, 6.006877 50.8332207, 6.0069549 50.8331928)"
41953428,41953398,0,,trunk,car,13.56422357429608,70.0,0.6975886409637985,0.011626477349396641,"LINESTRING (6.006902 50.8333456, 6.0067627 50.8332611)"
